trust_name,ods_code,press_email,press_email_alt,press_source_url,foi_email,foi_email_alt,foi_source_url,notes
Milton Keynes University Hospital NHS Foundation Trust,RD8,communications@mkuh.nhs.uk,,https://www.mkuh.nhs.uk/news/information-for-the-media,Foi.PublicationSchemeCo-ordinator@mkuh.nhs.uk,,https://www.mkuh.nhs.uk/about-us/freedom-of-information,Live site behind Cloudflare bot challenge; values decoded from CloudFlare cfemail in Wayback Machine snapshot Dec 2024
Moorfields Eye Hospital NHS Foundation Trust,RP6,Moorfields.pressoffice@nhs.net,,https://www.moorfields.nhs.uk/contact-us,Moorfields.webrequests@nhs.net,moorfields.fois@nhs.net,https://www.moorfields.nhs.uk/about-us/freedom-of-information,FOI page lists webrequests inbox; may be IG-handled rather than dedicated FOI
East of England Community Health and Care NHS Trust,RY3,ccs.communications@nhs.net,Communications@nchc.nhs.uk,https://eastofenglandcommunityhealthandcare.nhs.uk/contact-us,ccs.accesstoinfo@nhs.net,FreedomOfInformationProvider@nchc.nhs.uk,https://eastofenglandcommunityhealthandcare.nhs.uk/contact-us,Norfolk Community merged into East of England Community Health & Care; shared CCS inbox; renamed from 'Norfolk Community Health and Care NHS Trust' on 2026-05-16 after April 2026 merger with Cambridgeshire Community Services (RYV)
Norfolk and Norwich University Hospitals NHS Foundation Trust,RM1,communications@nnuh.nhs.uk,,https://www.nnuh.nhs.uk/news-and-events/media-centre/contacting-the-communications-team/,foi@nnuh.nhs.uk,,https://www.nnuh.nhs.uk/about-us/freedom-of-information/,
Norfolk and Suffolk NHS Foundation Trust,RMY,media@nsft.nhs.uk,,https://www.nsft.nhs.uk/press,informationrights@nsft.nhs.uk,,https://www.nsft.nhs.uk/freedom-of-information/,
North Bristol NHS Trust,RVJ,nbtcommunications@nbt.nhs.uk,,https://www.nbt.nhs.uk/about-us/contact-us,FOIArequests@nbt.nhs.uk,foi@nbt.nhs.uk,https://www.nbt.nhs.uk/about-us/freedom-information,
North Cumbria Integrated Care NHS Foundation Trust,RNN,communications@ncic.nhs.uk,communications.helpdesk@ncic.nhs.uk,https://www.ncic.nhs.uk/contact,FOIRequests@ncic.nhs.uk,,Temp/Comms contacts.xlsx (May 2026),FOI page not located; North Cumbria FOI URLs all 404; contact page references FOI but only via submission portal.
North East Ambulance Service NHS Foundation Trust,RX6,publicrelations@neas.nhs.uk,,https://www.neas.nhs.uk/contact-us,Freedom.Of.Information.Requests@neas.nhs.uk,publicrelations@neas.nhs.uk,https://www.neas.nhs.uk/about-us/freedom-information,
North East London NHS Foundation Trust,RAT,press@nelft.nhs.uk,communications@nelft.nhs.uk,https://www.nelft.nhs.uk/contact-us/,foi.foi@nelft.nhs.uk,foi@nelft.nhs.uk,https://www.nelft.nhs.uk/contact-us/,
North Staffordshire Combined Healthcare NHS Trust,RLY,communications@combined.nhs.uk,,https://www.combined.nhs.uk/contact/contact-us/,FOIRequests@combined.nhs.uk,,Temp/Comms contacts.xlsx (May 2026),FOI page returned 404 from tested paths and connection reset on combined.nhs.uk; FOI inbox not retrievable; North Staffordshire Combined FOI sub-pages 404; no FOI email published on contact page.
North Tees and Hartlepool NHS Foundation Trust,RVW,nth-tr.communications@nhs.net,,https://www.nth.nhs.uk/contact/,nth-tr.foi@nhs.net,,https://www.nth.nhs.uk/contact/,Both emails obscured by Cloudflare email-protection on the pages
North West Ambulance Service NHS Trust,RX7,press@nwas.nhs.uk,press.office@nwas.nhs.uk,https://www.nwas.nhs.uk/contact-us/,foi.enquiries@nwas.nhs.uk,,https://www.nwas.nhs.uk/foi/,Cloudflare email-protection decoded for FOI
North West Anglia NHS Foundation Trust,RGN,nwangliaft.communications@nhs.net,,https://www.nwangliaft.nhs.uk/contact-us/,nwangliaft.FOITeam@nhs.net,,https://www.nwangliaft.nhs.uk/freedom-of-information-foi-requests,
Northampton General Hospital NHS Trust,RNS,ngh-tr.communications@nhs.net,,https://www.northamptongeneral.nhs.uk/News/Communications-team.aspx,ngh-tr.foi@nhs.net,foi@ngh.nhs.uk,https://www.northamptongeneral.nhs.uk/About/Information-and-Data-Protection/Freedom-of-Information-Act/Freedom-of-Information-Act-2000/Publication-Scheme/Publication-Scheme.aspx,FOI email retrieved via Wayback snapshot of publication scheme page
Northamptonshire Healthcare NHS Foundation Trust,RP1,commsteam@nhft.nhs.uk,,https://www.nhft.nhs.uk/contact,foi@nhft.nhs.uk,,https://www.nhft.nhs.uk/foi/,FOI page not located
Northern Care Alliance NHS Foundation Trust,RM3,trust.communications@nca.nhs.uk,,https://www.northerncarealliance.nhs.uk/about-us/media-centre,FreedomofInformationRequests@nca.nhs.uk,penninefoi.atsalford@srft.nhs.uk,https://www.northerncarealliance.nhs.uk/contact-us/freedom-information-requests,
Northern Lincolnshire and Goole NHS Foundation Trust,RJL,nlg-tr.comms@nhs.net,,https://www.nlg.nhs.uk/press-and-media/,nlg-tr.nlagfoi@nhs.net,nlg-tr.foi@nhs.net,https://www.nlg.nhs.uk/foi/,Decoded from CloudFlare cfemail data attributes
Northumbria Healthcare NHS Foundation Trust,RTF,media@northumbria-healthcare.nhs.uk,,https://www.northumbria.nhs.uk/media-centre/contact-us,foi@northumbria.nhs.uk,,https://www.northumbria.nhs.uk/about-us/corporate-information/freedom-information,FOI page not located; contact form references FOI option only
Nottingham University Hospitals NHS Trust,RX1,nuhnt.nuhmedia@nhs.net,NUHMedia@nuh.nhs.uk,https://www.nuh.nhs.uk/media-enquiries/,nuhnt.dutyin@nhs.net,FOI@nuh.nhs.uk,https://www.nuh.nhs.uk/freedom-of-information/,"Nottingham UH: contact-us, comms and news-media URLs all 404; no public press email surfaced.; press primary updated 2026-05-16 from https://www.nuh.nhs.uk/media-enquiries/; prior value moved to _alt"
Nottinghamshire Healthcare NHS Foundation Trust,RHA,communications@nottshc.nhs.uk,,https://www.nottinghamshirehealthcare.nhs.uk/press-and-media,FOI@nottshc.nhs.uk,,https://www.nottinghamshirehealthcare.nhs.uk/freedom-of-information-request-form,
Oxford Health NHS Foundation Trust,RNU,Communications.Team@oxfordhealth.nhs.uk,,https://oxfordhealth.nhs.uk/contacts/media-enquiries/,foiarfi@oxfordhealth.nhs.uk,,https://www.oxfordhealth.nhs.uk/contacts/,press email not on main contact pages
Oxford University Hospitals NHS Foundation Trust,RTH,web.editor@ouh.nhs.uk,media.office@ouh.nhs.uk,https://www.ouh.nhs.uk/contact/,oxford@infreemation.co.uk,,Temp/Comms contacts.xlsx (May 2026),"FOI requests directed to online form, no email; subject.accessrequest@ouh.nhs.uk only for personal data/SAR; Oxford UH FOI page directs requests via online form (foienquiries.ouh.nhs.uk/start-now) and postal address; no generic FOI email published. subject.accessrequest@ouh.nhs.uk is for Subject Access only."
Oxleas NHS Foundation Trust,RPG,oxl-tr.communications@nhs.net,,https://www.oxleas.nhs.uk/contact-us/,oxl-tr.FOI@nhs.net,,https://www.oxleas.nhs.uk/contact-us/,
Pennine Care NHS Foundation Trust,RT2,media.penninecare@nhs.net,,https://www.penninecare.nhs.uk/contact,foi.penninecare@nhs.net,,https://www.penninecare.nhs.uk/contact,
Portsmouth Hospitals University National Health Service Trust,RHU,pho-tr.communications@nhs.net,communications@porthosp.nhs.uk,https://www.porthosp.nhs.uk/about-us/contact-us,pho-tr.foirequest-portsmouth@nhs.net,Portsmouth.FOIRequests@porthosp.nhs.uk,https://www.porthosp.nhs.uk/about-us/information-governance/requesting-information,in progress
Queen Victoria Hospital NHS Foundation Trust,RPC,qvh.communications@nhs.net,qvh.info@nhs.net,https://www.qvh.nhs.uk/contact-us/,qvh.foi@nhs.net,,https://www.qvh.nhs.uk/contact-us/,
Rotherham Doncaster and South Humber NHS Foundation Trust,RXE,rdash.rdashcommunications@nhs.net,,https://www.rdash.nhs.uk/contact-us/media-enquiries/,rdash.foirdash@nhs.net,,https://www.rdash.nhs.uk/about-us/governance/freedom-of-information/,
Royal Berkshire NHS Foundation Trust,RHW,communications@royalberkshire.nhs.uk,,https://www.royalberkshire.nhs.uk/contact-us/,foi@royalberkshire.nhs.uk,,https://www.royalberkshire.nhs.uk/contact-us/,in progress
Royal Cornwall Hospitals NHS Trust,REF,rcht.communication@nhs.net,,https://news.royalcornwallhospitals.nhs.uk/press-and-media/,rch-tr.foi@nhs.net,,https://royalcornwallhospitals.nhs.uk/organisation/freedom-of-information/,
Royal Devon University Healthcare NHS Foundation Trust,RH8,rde-tr.RDEComms@nhs.net,rduh.comms@nhs.net,https://www.royaldevon.nhs.uk/get-in-touch,rduh.foi@nhs.net,,https://www.royaldevon.nhs.uk/about-us/information-governance/freedom-of-information-foi-and-environmental-information-regulations-eir/,Trust uses two legacy comms inboxes (Eastern: rde-tr.RDEComms@nhs.net; Northern: ndht.Communications@nhs.net) post-merger
Royal Free London NHS Foundation Trust,RAL,tr-rf.communications@nhs.net,rf.mediaenquiries@nhs.net,https://www.royalfree.nhs.uk/contact-us/contact-media-team,rf-tr.foi@nhs.net,,Temp/Comms contacts.xlsx (May 2026),Site (incl FOI page) returned 403 to scraping; press email confirmed via search results. FOI email not extractable - likely rf-tr.foi@nhs.net but unverified; Royal Free FOI page returned 403 to WebFetch on multiple attempts; could not retrieve email.
Royal National Orthopaedic Hospital NHS Trust,RAN,rnoh.mediaenquiries-sm@nhs.net,rnoh.communicationsdept@nhs.net,https://www.rnoh.nhs.uk/contact-us,rnoh.foi-sm@nhs.net,,https://www.rnoh.nhs.uk/contact-us,
Royal Papworth Hospital NHS Foundation Trust,RGM,papworth.communications@nhs.net,,https://royalpapworth.nhs.uk/contact/media-enquiries,papworth.foidept@nhs.net,,https://royalpapworth.nhs.uk/our-hospital/information-we-publish/freedom-information,
Royal Surrey County Hospital NHS Foundation Trust,RA2,rsch.pressoffice@nhs.net,rsch.communications@nhs.net,https://www.royalsurrey.nhs.uk/useful-contacts-/,rsc-tr.FreedomOfInformation@nhs.net,,https://www.royalsurrey.nhs.uk/how-to-make-a-freedom-of-information-request,
Royal United Hospitals Bath NHS Foundation Trust,RD1,ruh-tr.CommunicationTeam@nhs.net,,https://www.ruh.nhs.uk/media/index.asp,ruh-tr.FOIRequests@nhs.net,,Temp/Comms contacts.xlsx (May 2026),FOI page references comms team but no dedicated FOI email surfaced; Royal United Bath FOI URL not retrieved (legacy .asp paths).
Salisbury NHS Foundation Trust,RNZ,dave.roberts@nhs.net,,https://www.salisbury.nhs.uk/about-us/media-enquiries/,sft.freedomofinformation@nhs.net,,https://www.salisbury.nhs.uk/about-us/freedom-of-information-foi/how-to-make-a-request/,Salisbury press contacts are individuals only (Dave Roberts and Lydia.Davies6@nhs.net); no team mailbox listed
Sandwell and West Birmingham Hospitals NHS Trust,RXK,swbh.comms@nhs.net,,https://www.swbh.nhs.uk/news/,swb-tr.SWBH-GM-FOIRequests@nhs.net,,https://www.swbh.nhs.uk/our-trust/statutory-information/freedom-of-information/,Press email confirmed via news team contact section.
Sheffield Children's NHS Foundation Trust,RCU,scn-tr.communications@nhs.net,communications@sch.nhs.uk,https://www.sheffieldchildrens.nhs.uk/contact-us/,scn-tr.schfoi@nhs.net,,https://www.sheffieldchildrens.nhs.uk/contact-us/,
Sheffield Health and Social Care NHS Foundation Trust,TAH,communications@sheffieldpartnership.nhs.uk,communications.shsc@shsc.nhs.uk,https://www.sheffieldpartnership.nhs.uk/contact-us/media-enquiries,shsc@infreemation.co.uk,foi@shsc.nhs.uk,https://www.sheffieldpartnership.nhs.uk/contact-us/freedom-information-requests,Sheffield Health & Social Care rebranded as Sheffield Partnership University FT; FOI uses Infreemation portal
Sheffield Teaching Hospitals NHS Foundation Trust,RHQ,sth.allcommunicationsteam@nhs.net,,https://www.sth.nhs.uk/news/media-enquiries/,sth.foi@nhs.net,,https://www.sth.nhs.uk/about-us/freedom-of-information/,
Sherwood Forest Hospitals NHS Foundation Trust,RK5,sfh-tr.communications@nhs.net,,https://www.sfh-tr.nhs.uk/about-us/contact-us/communications-team/,sfh-tr.information.governance@nhs.net,sfh-tr.foi.requests@nhs.net,https://www.sfh-tr.nhs.uk/about-us/regulatory-information/freedom-of-information/,
Shropshire Community Health NHS Trust,R1D,shropcom.communications@nhs.net,,https://www.shropscommunityhealth.nhs.uk/contact-us,shropcom.FOIR@infreemation.co.uk,shropcom.foi@nhs.net,https://www.shropscommunityhealth.nhs.uk/foi,FOI uses third-party Infreemation portal
Solent NHS Trust,R1C,hiowh.communications@nhs.net,communications@solent.nhs.uk,https://hiowhealthcare.nhs.uk/contact-us,hiowh.freedomofinformation@nhs.net,FreedomOfInformation@solent.nhs.uk,https://hiowhealthcare.nhs.uk/about-us/freedom-information,Solent merged into Hampshire & Isle of Wight Healthcare NHS FT (1 Oct 2024); FOI email not surfaced on contact page
Somerset NHS Foundation Trust,RH5,communications@somersetft.nhs.uk,,https://www.somersetft.nhs.uk/about-us/about-us/news-and-media/,foi@somersetft.nhs.uk,,https://www.somersetft.nhs.uk/about-us/about-us/publication-scheme/freedom-of-information-foi/,press email not located on public pages
South Central Ambulance Service NHS Foundation Trust,RYE,oncallmedia@scas.nhs.uk,,https://www.scas.nhs.uk/contact-us/contact-the-media-team/,foi@scas.nhs.uk,,https://www.scas.nhs.uk/contact-us/,
South East Coast Ambulance Service NHS Foundation Trust,RYD,press@secamb.nhs.uk,,https://www.secamb.nhs.uk/news/contact-media-team/,foi@secamb.nhs.uk,,https://www.secamb.nhs.uk/freedom-of-information-requests/,
South London and Maudsley NHS Foundation Trust,RV5,communications@slam.nhs.uk,,https://www.slam.nhs.uk/newsroom,foi@slam.nhs.uk,,https://www.slam.nhs.uk/freedom-of-information,
South Tees Hospitals NHS Foundation Trust,RTR,stees.public.relations@nhs.net,,https://www.southtees.nhs.uk/press/,stees.foi.admin@nhs.net,,https://www.southtees.nhs.uk/freedom-of-information-foi/foi-contacts/,Email addresses obscured by Cloudflare email-protection on both pages; could not extract verbatim; Both emails decoded from Cloudflare cfemail attributes.
South Tyneside and Sunderland NHS Foundation Trust,R0B,stsft.trustcomms@nhs.net,lauren.robinson13@nhs.net,https://www.stsft.nhs.uk/contact-us,stsft.freedomofinformation@nhs.net,stsft@infreemation.co.uk,https://www.stsft.nhs.uk/about-us/corporate-information/foi-requests,Trust uses third-party portal Stsft@infreemation.co.uk; nhs.net inbox is the auto-reply / fallback
South Warwickshire University NHS Foundation Trust,RJC,communications@swft.nhs.uk,,https://www.swft.nhs.uk/about-us/contact-us,swft@infreemation.co.uk,,Temp/Comms contacts.xlsx (May 2026),FOI email not located; South Warwickshire FOI sub-pages 404; contact page advises calling switchboard for FOI.
South West London and St George's Mental Health NHS Trust,RQY,communications@swlstg.nhs.uk,,https://www.swlstg.nhs.uk/media-enquiries,FOI-Requests@swlstg.nhs.uk,foi@swlstg.nhs.uk,https://www.swlstg.nhs.uk/freedom-of-information,
South West Yorkshire Partnership NHS Foundation Trust,RXG,comms@swyt.nhs.uk,,https://www.southwestyorkshire.nhs.uk/contact-us/,foi@swyt.nhs.uk,,https://www.southwestyorkshire.nhs.uk/contact-us/freedom-of-information/how-to-make-a-request/,
South Western Ambulance Service NHS Foundation Trust,RYF,publicrelations@swast.nhs.uk,,https://www.swast.nhs.uk/press-office,swast.information.governance@nhs.net,information.governance@swast.nhs.uk,https://www.swast.nhs.uk/contact-us,
Southern Health NHS Foundation Trust,RW1,hiowh.communications@nhs.net,communications@southernhealth.nhs.uk,https://hiowhealthcare.nhs.uk/contact-us,hiowh.freedomofinformation@nhs.net,freedom.information@southernhealth.nhs.uk,https://hiowhealthcare.nhs.uk/freedom-information,Southern Health was reorganised into Hampshire and Isle of Wight Healthcare NHSFT
St George's University Hospitals NHS Foundation Trust,RJ7,gesh.comms@stgeorges.nhs.uk,,https://www.stgeorges.nhs.uk/news/media-enquiries/,foi@stgeorges.nhs.uk,,Temp/Comms contacts.xlsx (May 2026),FOI page lists postal address only; no email published; St George's FOI URL not fetched within budget.
Stockport NHS Foundation Trust,RWJ,communications@stockport.nhs.uk,,Temp/Comms contacts.xlsx (May 2026),foi@stockport.nhs.uk,,https://www.stockport.nhs.uk/about/trust/freedom-of-information/,Contact page lists no media or FOI emails; FOI page not yet checked; Stockport FOI email decoded from Cloudflare cfemail. Contact-us page 404; no press email surfaced.
Surrey and Borders Partnership NHS Foundation Trust,RXX,communications@sabp.nhs.uk,,https://www.sabp.nhs.uk/contact/media-enquiries,foi@sabp.nhs.uk,igteam@sabp.nhs.uk,https://www.sabp.nhs.uk/contact/freedom-of-info,
Surrey and Sussex Healthcare NHS Trust,RTP,sash.communications@nhs.net,,https://www.surreyandsussex.nhs.uk/find-contact-us/contact-us/media-and-communications,sash.foi@nhs.net,,https://www.surreyandsussex.nhs.uk/about-us/corporate-and-regulatory-information/freedom-information/how-make-request,
Sussex Community NHS Foundation Trust,RDR,scftcommunications@nhs.net,,Temp/Comms contacts.xlsx (May 2026),SC-TR.freedomofinformation@nhs.net,,Temp/Comms contacts.xlsx (May 2026),Both press and FOI pages returned 403 on direct fetch; emails are spam-obfuscated on the site. IG team based at Brighton General Hospital; Sussex Community: both press-and-media and FOI URLs returned 403 to WebFetch.
Sussex Partnership NHS Foundation Trust,RX2,spft.media@nhs.net,communications@sussexpartnership.nhs.uk,https://www.sussexpartnership.nhs.uk/about-us/news-events,spft.foi@nhs.net,foi@sussexpartnership.nhs.uk,https://www.sussexpartnership.nhs.uk/about-us/contact-us/freedom-information,
Tameside and Glossop Integrated Care NHS Foundation Trust,RMP,media@tgh.nhs.uk,communication@tgh.nhs.uk,https://www.tamesideandglossopicft.nhs.uk/contact-us/communicationpress,foi@tgh.nhs.uk,,https://www.tamesideandglossopicft.nhs.uk/about-us/freedom-information-foi/freedom-information-request,press/comms page not located
Tavistock and Portman NHS Foundation Trust,RNK,media@tavi-port.nhs.uk,communications@tavi-port.nhs.uk,https://tavistockandportman.nhs.uk/contact-us/media/,foi@tavi-port.nhs.uk,,https://tavistockandportman.nhs.uk/about-us/freedom-information/,Trust merged into North London FT April 2026; archived site; Note: Tavistock & Portman merged into North London NHS FT on 1 April 2026 - site archived.
"Tees, Esk and Wear Valleys NHS Foundation Trust",RX3,tewv.communications@nhs.net,tewv.enquiries@nhs.net,https://www.tewv.nhs.uk/contact/,TEAWVNT.accessrequests@nhs.net,tewv.foi@nhs.net,https://www.tewv.nhs.uk/freedom-of-information/,FOI handled via Access Requests inbox per contact page; Cloudflare email-protection decoded
The Christie NHS Foundation Trust,RBV,Maggie.Doyle@christie.nhs.uk,,Temp/Comms contacts.xlsx (May 2026),the-christie.foi@nhs.net,,https://www.christie.nhs.uk/about-us/about-the-christie/freedom-of-information-disclosure-logs,Press/media email not surfaced on contact-us page; Christie communications switchboard 0161 446 3000; Christie press office sub-pages all 404 in tests; no press email surfaced.
The Clatterbridge Cancer Centre NHS Foundation Trust,REN,ccf-tr.communications.team@nhs.net,,https://www.clatterbridgecc.nhs.uk/contact-us,ccf-tr.foi@nhs.net,,https://www.clatterbridgecc.nhs.uk/about-us/freedom-information-foi,"site returned 403 to bot fetch; pages exist per search results, but specific email addresses could not be confirmed"
The Dudley Group NHS Foundation Trust,RNA,dgft.communications@nhs.net,,https://www.dgft.nhs.uk/contact-us/,dgft.foi@nhs.net,,https://www.dgft.nhs.uk/about-us/freedom-of-information/,
The Hillingdon Hospitals NHS Foundation Trust,RAS,thh-tr.communications@nhs.net,,https://thh.nhs.uk/contact-us/,thh@infreemation.co.uk,thh-tr.freedomofinfo@nhs.net,https://www.thh.nhs.uk/about-us/freedom-of-information,"Trust directs FOI requests to online form at thh.disclosure-log.co.uk; no published email; Hillingdon Hospitals FOI page directs all requests via online form (thh.disclosure-log.co.uk); states attachments and links rejected; no FOI email published.; Hillingdon use the Infreemation portal — confirmed via WhatDoTheyKnow request thread, May 2026."
The Newcastle upon Tyne Hospitals NHS Foundation Trust,RTD,nuth.communications@nhs.net,,https://www.newcastle-hospitals.nhs.uk/help/press/,,,,"Newcastle press email inferred from Bing cross-reference (Cloudflare-encoded on page); FOI page directs requests via online form, no email."
The Princess Alexandra Hospital NHS Trust,RQW,paht.communications@nhs.net,,Temp/Comms contacts.xlsx (May 2026),paht.FOI@nhs.net,,Temp/Comms contacts.xlsx (May 2026),PAH uses online forms only for both media and FOI; emails are CloudFlare-protected share links not contact addresses; no direct inbox visible; Princess Alexandra: media page provides only enquiry form; FOI page Cloudflare-protected (cfemail not extracted). pah.foi@nhs.net is plausible but unverified.
The Queen Elizabeth Hospital King's Lynn NHS Foundation Trust,RCX,media.enquiries@qehkl.nhs.uk,Communicationsqeh@qehkl.nhs.uk,https://www.qehkl.nhs.uk/news-and-events/media-enquiries/,dpa@qehkl.nhs.uk,foi@qehkl.nhs.uk,https://www.qehkl.nhs.uk/freedom-of-information.asp,FOI uses combined data protection / FOI inbox
The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,RL1,rjah.media.requests@nhs.net,,https://www.rjah.nhs.uk/contact-us/media-enquiries/,rjah.foi@nhs.net,,https://www.rjah.nhs.uk/contact-us,in progress
The Rotherham NHS Foundation Trust,RFR,rgh-tr.communications@nhs.net,,https://www.therotherhamft.nhs.uk/contact/media-enquiries,rgh-tr.freedomofinformation@nhs.net,,https://www.therotherhamft.nhs.uk/contact/freedom-information,
The Royal Marsden NHS Foundation Trust,RPY,pressteam@rmh.nhs.uk,,https://www.royalmarsden.nhs.uk/contact-us/pr-and-communications-team,,,https://www.royalmarsden.nhs.uk/about-royal-marsden/freedom-information,Royal Marsden FOI handled via online request form only; no public FOI inbox; Royal Marsden FOI URL not fetched within budget.
The Royal Orthopaedic Hospital NHS Foundation Trust,RRJ,roh.comms@nhs.net,,https://roh.nhs.uk/contact,roh-tr.foi@nhs.net,,https://roh.nhs.uk/contact,
The Royal Wolverhampton NHS Trust,RL4,rwh-tr.communicationsdept@nhs.net,,https://www.royalwolverhampton.nhs.uk/contact-us/,rwh-tr.foi@nhs.net,,https://www.royalwolverhampton.nhs.uk/contact-us/,in progress
The Shrewsbury and Telford Hospital NHS Trust,RXW,sath.commsteam@nhs.net,,https://www.sath.nhs.uk/news-media/contact-the-team/,sath.foi@nhs.net,,https://www.sath.nhs.uk/about-us/freedom-of-information/make-an-enquiry/,
The Walton Centre NHS Foundation Trust,RET,wcft.communications@nhs.net,,https://www.thewaltoncentre.nhs.uk/media-enquiries,wcft.enquiries@nhs.net,enquiries@thewaltoncentre.nhs.uk,https://www.thewaltoncentre.nhs.uk/freedom-of-information-requests---form,
Torbay and South Devon NHS Foundation Trust,RA9,tsdft.communicationsteam@nhs.net,communications.tsdft@nhs.net,https://www.torbayandsouthdevon.nhs.uk/news-and-publications/media/,tsdft.foirequests@nhs.net,foi.tsdft@nhs.net,https://www.torbayandsouthdevon.nhs.uk/about-us/data-protection/freedom-of-information/,Press email reconstructed from contact form recipient (tsdft.communicationsteam@nhs.net)
United Lincolnshire Hospitals NHS Trust,RWD,ulth.lchscommunications@nhs.net,communications@ulh.nhs.uk,https://www.ulh.nhs.uk/contact/news-communications/,ulth.foi@nhs.net,FOI@ulh.nhs.uk,https://www.ulh.nhs.uk/freedom-of-information/,Both emails obscured by Cloudflare email-protection on these pages
University College London Hospitals NHS Foundation Trust,RRV,uclh.media@nhs.net,,https://www.uclh.nhs.uk/about-us/what-we-do/media-and-communications/media-enquiries/story-consent,uclh.foi@nhs.net,,https://www.uclh.nhs.uk/contact/freedom-information,
University Hospital Southampton NHS Foundation Trust,RHM,communications@uhs.nhs.uk,,https://www.uhs.nhs.uk/whats-new/procedure-for-media-enquiries,freedomofinformation@uhs.nhs.uk,,Temp/Comms contacts.xlsx (May 2026),Trust website returned 404 to direct page fetches; FOI email not confirmed; UH Southampton FOI sub-pages all 404 across tested paths.
University Hospitals Birmingham NHS Foundation Trust,RRK,communications@uhb.nhs.uk,,https://www.uhb.nhs.uk/get-in-touch/media-enquiries/,Foi@uhb.nhs.uk,foi.uhb@uhb.nhs.uk,https://www.uhb.nhs.uk/get-in-touch/make-a-freedom-of-information-request/,press email not found on site; FOI email not found on site
University Hospitals Bristol and Weston NHS Foundation Trust,RA7,pressoffice@uhbw.nhs.uk,,https://www.uhbw.nhs.uk/p/get-in-touch/media-centre,FreedomOfInfo@uhbw.nhs.uk,FreedomofInfo@uhbristol.nhs.uk,https://www.uhbw.nhs.uk/p/how-we-use-your-data/freedom-of-information-foi-requests,
University Hospitals Coventry and Warwickshire NHS Trust,RKB,communications@uhcw.nhs.uk,,https://www.uhcw.nhs.uk/contact-us/media-centre/media-enquiries/,GMBFOI@uhcw.nhs.uk,foi@uhcw.nhs.uk,https://www.uhcw.nhs.uk/contact-us/freedom-of-information-act/,
University Hospitals Dorset NHS Foundation Trust,R0D,uhd.communications@nhs.net,communications@uhd.nhs.uk,https://www.uhd.nhs.uk/news/media-enquiry,uhd.foi@nhs.net,foi@uhd.nhs.uk,https://www.uhd.nhs.uk/about-us/foi,Joomla cloak-script obfuscated; decoded from script source
University Hospitals Plymouth NHS Trust,RK9,communications.phnt@nhs.net,,https://www.plymouthhospitals.nhs.uk/contact-us,plh-tr.foi-requests@nhs.net,,https://www.plymouthhospitals.nhs.uk/foi/,
University Hospitals Sussex NHS Foundation Trust,RYR,UHSussex.media@nhs.net,,https://www.uhsussex.nhs.uk/contact/press-media/,UHSussex.foi@nhs.net,,https://www.uhsussex.nhs.uk/freedom-of-information/,Cloudflare email-protection decoded
University Hospitals of Derby and Burton NHS Foundation Trust,RTG,uhdb.communications@nhs.net,,https://www.uhdb.nhs.uk/information-for-journalists,uhdb.foi@nhs.net,,https://www.uhdb.nhs.uk/freedom-of-information-foi,
University Hospitals of Leicester NHS Trust,RWE,uhl-tr.pressoffice@nhs.net,communications@uhl-tr.nhs.uk,https://www.uhleicester.nhs.uk/contact/,uhl-tr.foi-freedomofinformation@nhs.net,foi@uhl-tr.nhs.uk,https://www.uhleicester.nhs.uk/foi/about-freedom-of-information/,Press email obscured/encoded on contact page; FOI page not located
University Hospitals of Morecambe Bay NHS Foundation Trust,RTX,communications.team@mbht.nhs.uk,,https://www.uhmb.nhs.uk/get-in-touch/contact-our-corporate-communications-team,Freedom.Information@mbht.nhs.uk,,https://www.uhmb.nhs.uk/our-trust/freedom-information,
University Hospitals of North Midlands NHS Trust,RJE,communications@uhnm.nhs.uk,Communications@uh​nm.n​hs.uk,https://www.uhnm.nhs.uk/contact-us/information-for-journalists/,foi@uhnm.nhs.uk,,https://www.uhnm.nhs.uk/contact-us,
Walsall Healthcare NHS Trust,RBK,wht.communications@nhs.net,,Temp/Comms contacts.xlsx (May 2026),wht.foi@nhs.net,FOI@walsallhealthcare.nhs.uk,https://www.walsallhealthcare.nhs.uk/about-us/foi/,No press email published; out-of-hours via switchboard 01922 721172; Walsall Healthcare media page advises out-of-hours via switchboard only; no published press email.
Warrington and Halton Teaching Hospitals NHS Foundation Trust,RWW,ncm.media@nhs.net,whh.communications@nhs.net,https://northcheshireandmersey.nhs.uk/contact-us,ncm.foi@nhs.net,whh.foi@nhs.net,https://northcheshireandmersey.nhs.uk/about-us/freedom-of-information/,FOI primary updated 2026-05-16 from https://northcheshireandmersey.nhs.uk/about-us/freedom-of-information/; prior value moved to _alt
West Hertfordshire Teaching Hospitals NHS Trust,RWG,westherts.communications@nhs.net,,https://www.westhertshospitals.nhs.uk/about-us/news/media-enquiries,westherts.foi@nhs.net,,https://www.westhertshospitals.nhs.uk/about-us/foi,
West London NHS Trust,RKL,wlt.communications@nhs.net,communications@westlondon.nhs.uk,https://www.westlondon.nhs.uk/news/media-and-communications,wlt.foi@nhs.net,foi@westlondon.nhs.uk,https://www.westlondon.nhs.uk/about-us/freedom-information,
